Name,Website,Description,Categories,Discord,Twitter
"DeFi,Swap",It allows you to buy and sell tokens using gas-less orders that are settled peer-to-peer among its users or into any on-chain liquidity source while providing MEV protection.,https://discord.com/invite/cowprotocol,,https://twitter.com/CoWSwap,
Cube3,https://www.cube3.ai/,AI powered smart contract security.,"AI,Security",N/A,n/a
Dfinity,https://dfinity.org/,Foundation for “The Internet Computer” formed by a ,,,
,sovereign network,,,,
Infrastructure," of standardized ""node machine"" hardware operated by independent parties.",,,https://twitter.com/dfinity,
Dodo,https://dodoex.io/,"Decentralized Trading Protocol for Web3, Powered by the Proactive Market Making (PMM) algorithm.","DeFi,Liquidity,Trading",https://discord.gg/tyKReUK,https://twitter.com/BreederDodo
Findora,https://findora.org/,"Findora is a decentralized, privacy-preserving smart contract platform.","Smart Contracts,ZK",https://findora.org/discord,https://twitter.com/findora
Fireblocks,https://www.fireblocks.com/,All-in-one platform for building your digital asset business.,"DeFi,Developer Tooling,Infrastructure",,https://twitter.com/FireblocksHQ
FirstBatch,https://www.firstbatch.xyz/,,,,
Fluence,https://fluence.network/,Fluence is a decentralized serverless computing platform.,"Developer Tooling,Infrastructure",https://fluence.chat/,https://twitter.com/fluence_project
Foundry,https://foundrydigital.com/,"Meeting the institutional demand for better capital access, efficiency, and transparency in the digital asset mining and staking industry.","Infrastructure,Staking",,https://twitter.com/foundryservices
Gridion,https://gridironthegame.com/,Web3 sports gaming.,"Gaming,Sports",https://discord.gg/gridironthegame,n/a
Huma,https://huma.finance/,Income Backed DeFi -,,,
DeFi,"Lend, borrow, and earn with receivables",https://discord.com/invite/aCDxmJqvE2,,https://twitter.com/humafinance,
INFSTONES,http://infstones.com/,"Web3 Infrastructure Platform supporting over 70 blockchain protocols. Staking, Node Management, API Gateway, and Blockwatch.","Data API,Infrastructure,Staking",https://discord.com/invite/5Sgu93crrA,https://twitter.com/infstones
INTU,https://intu.xyz/,"Cryptographic solutions for Self sovereign recovery, Shared ownership, treasury management, compliance protocols, and more.",Infrastructure,,n/a
Lens Protocol,https://www.lens.xyz/,"A permissionless, composable, & decentralized social graph that makes building a Web3 social platform easy. From the team that brought you the Aave Protocol.","Infrastructure,social",https://discord.gg/lensprotocol,https://twitter.com/LensProtocol
Livepeer,https://livepeer.org/,Decentralized video infrastructure network.,"Infrastructure,Video",https://discord.gg/uaPhtyrWsF,https://twitter.com/Livepeer
Metrika,https://metrika.co/,Operational Intelligence for Blockchain Networks.,Network Intellegence,https://discord.gg/3tczKjK3ST,https://twitter.com/metrikaco
Monbeam,https://moonbeam.network/,"Moonbeam is a smart contract platform for cross-chain connected applications that unites functionality from Ethereum, Polkadot, and beyond.",Parachain,https://discord.gg/PfpUATX,https://twitter.com/moonbeamnetwork
Moonstream,https://moonstream.to/,Moonstream provides economic infrastructure for web3 games. Gather actionable data with web3 data analytics. Act on it with on-chain mechanics.,"Gaming,Infrastructure",https://discord.com/invite/K56VNUQGvA,https://twitter.com/moonstreamto
Muverse,https://www.muverse.info/home,Muverse is a community-driven web3.0 interactive music platform. Muverse appeals to global artists and fans to grow together through in-app interaction and earn rich rewards in web3.0.,"Gaming,Music,social",,https://twitter.com/MuverseNFT
Oasis App,https://oasis.app/#multiply,"Earn a yield, Multiply your exposure or Borrow against your crypto. ETH, BTC and 30 more cryptos available to put to work.",DeFi,https://discord.gg/Kc2bBB59GC,https://twitter.com/oasisdotapp
OenZeppelin,https://www.openzeppelin.com/,"OpenZeppelin provides security products to build, automate, and operate decentralized applications. They also protect leading organizations by performing security audits on their systems and products.","Developer Tooling,Infrastructure,Security",,https://twitter.com/openzeppelin
Optimism,https://www.optimism.io/,"Optimism is a low-cost, fast Ethereum L2 blockchain.","ETH Scaling,L2",https://discord-gateway.optimism.io/,https://twitter.com/optimismFND
Orchid,https://www.orchid.com/,"Orchid is an EVM layer 2 payment solution and bandwidth marketplace that aims to provide the building blocks for a better, freer Internet.","EVM,L2,payments",https://discord.gg/invite/GDbxmjxX9F,https://twitter.com/OrchidProtocol
Parsiq,https://www.parsiq.net/,Full-suite data network used to build the backend for all web3,,,
"Data API,Developer Tooling,Infrastructure",dApps & protocols.,https://discord.gg/PMWaxp5dFp,,https://twitter.com/parsiq_net,
Phantom,https://phantom.app/,Crypto wallet built for DeFi & NFTs.,"DeFi,NFT,Wallet",,https://twitter.com/phantom
Pokt,https://www.pokt.network/,decentralized RPC network with DAO governance.,"Developer Tooling,Infrastructure",https://discord.com/invite/uYs6Esum3r,https://twitter.com/POKTnetwork
Quai Network,https://quai.network/,Quai Network is a dynamic set of EVM-compatible blockchains.,"EVM,L2",https://discord.com/invite/ngw88VXXnV,https://twitter.com/QuaiNetwork
Trook,https://www.rook.fi/,Open MEV marketplace for Ethereum.,"ETH Scaling,MEV",https://discord.gg/rook,https://twitter.com/Rook
Spectral,https://www.spectral.finance/,On-Chain CreditRisk Insights.,"Data API,DeFi",https://discord.com/invite/Z9ESSwy,https://twitter.com/SpectralFi
Spruce,https://www.spruceid.com/,"Sign-In with Ethereum (EIP-4361) was co-authored by the Spruce team to standardize how Ethereum-based accounts, including those that own an ENS name, authenticate with off-chain services.",ID,https://discord.com/invite/WjvuYqvm5Y,https://twitter.com/SpruceID
Stability,https://stabilityprotocol.com/,N/A,,,N/A
Stakewise,https://stakewise.io/,Liquid staking protocol on Ethereum and Gnosis Chain,ETH Staking,https://discord.gg/8Zf7tKyXeZ,https://twitter.com/stakewise_io
Storj,https://www.storj.io/storj-home,"Secure, private, affordable decentralized cloud object storage for developers.","Developer Tooling,Storage",,https://twitter.com/storj
Swing.xyz,https://swing.xyz/,Cross-chain liquidity through bridge and DEX aggregation.,"Data API,DeFi,Developer Tooling",https://discord.com/invite/VYgbmdkwsS?_gl=1*1w1z67w*_ga*MTI5MDk4MjY5Ni4xNjc1OTQ2NjIz*_ga_PNRSWZXW6H*MTY3NTk0NjYyMi4xLjAuMTY3NTk0NjYyMi4wLjAuMA..,https://twitter.com/swing_xyz?_gl=1*cp3y9n*_ga*MTkwMTU1ODY3OC4xNjc1ODYzMzUz*_ga_PNRSWZXW6H*MTY3NTg2MzM1Mi4xLjAuMTY3NTg2MzM1Mi4wLjAuMA..
Tally,https://www.tally.xyz/,N/A,,https://discord.com/invite/sCGnpWH3m4,N/A
tellor,https://tellor.io/,Tellor is a transparent and permissionless way for smart contracts to easily get any data whenever they need it.,Oracle,https://discord.gg/n7drGjh,https://twitter.com/WeAreTellor
tenderly,https://tenderly.co/,"All-in-One Web3 Dev Platform - development, observability & infrastructure. Build, debug, test & run reliable dapps.",Developer Tooling,https://discord.gg/fBvDJYR,https://twitter.com/TenderlyApp
The Graph,https://thegraph.com/en/,"The Graph is an indexing protocol for querying networks like Ethereum and IPFS. Anyone can build and publish open APIs, called subgraphs, making data easily accessible.","Data API,Infrastructure",https://discord.gg/vtvv7FP,https://twitter.com/graphprotocol
TallyHo,https://tallyho.org/,Community-owned and operated Web3 wallet.,Wallet,https://chat.tallyho.org/,https://twitter.com/TallyHoOfficial
Threshold,https://threshold.network/,A decentralized threshold cryptography network.,"Bridge,DeFi,Staking",https://discord.gg/Threshold,https://twitter.com/TheTNetwork
Uniswap,https://uniswap.org/,A protocol for trading and automated liquidity provision on Ethereum.,"DeFi,Liquidity",https://discord.gg/FCfyBSbCU5,https://twitter.com/uniswap/
wb3auth,https://web3auth.io/,Passwordless authentication meets MPC enabled non-custodial key infrastructure for apps and wallets.,ID,http://discord.gg/web3auth,https://twitter.com/web3auth
zkBob,https://www.zkbob.com/,"BOB is a multi-chain, multi-collateral stable token enhanced with optional privacy features.",Stablecoins,,https://twitter.com/zkBob_
Dotbit,https://www.did.id/,Cross-chain Web3 identities.,ID,https://discord.gg/did,https://twitter.com/dotbitHQ
AAVE Grants DAO,https://aavegrants.org/,"Aave Grants DAO is a community-led grants program to fund ideas submitted by the Aave protocol’s community, with a focus on empowering a wider network of developers, DeFi projects, community builders, and anything that helps the broader Aave Ecosystem.","DAO,Grants",,https://twitter.com/AaveGrants
AlicaNet,https://www.alice.net/,"AliceNet is a Layer 2, decentralized “Interlayer” focused on enabling industry standards to make fast, secure, and low-to-no-cost activities between chains.","Cross-Chain,L2",http://discord.gg/alicenet,https://twitter.com/_AliceNet
Ambire,https://www.ambire.com/,Open-source EVM smart wallet that delivers a UI-focused experience while ensuring strong security.,,,
Wallet,,https://discord.gg/nMBGJsb,,https://twitter.com/AmbireWallet,
Ansiblelabs,https://www.ansiblelabs.xyz/,"Tradfi-compliant payment, risk and identity services.","ID,Trade-Fi",,https://twitter.com/AnsibleLabs
Arweave,https://www.arweave.org/,"The Arweave network is like Bitcoin, but for data: A permanent and decentralized web inside an open ledger.",,,
"Infrastructure,Storage","Permanent storage has many applications: from the preservation of humanity's most important data, to the hosting of truly decentralized and provably neutral web apps.",https://discord.gg/AhsZfBm,,https://twitter.com/ArweaveEco,
Brave,https://brave.com/,"Private browser, search, Web3 access & more.",Browser,,https://twitter.com/brave
Chainbase,https://www.chainbase.online/,APIs for Web3 Interaction Layer,"Data API,Infrastructure",https://discord.gg/DUWMmtprz4,https://twitter.com/ChainbaseOnline
Certik,https://www.certik.com/,"Smart contract audit, KYC, on-chain monitoring, bug bounty, pen testing.",Security,https://discord.com/invite/S5YbXrSgEA,https://twitter.com/CertiK
Drips,https://radicle.xyz/,A peer-to-peer stack for building software together.,Developer Tooling,,https://twitter.com/radicle
Dynamic,https://www.dynamic.xyz/,"Multi-chain wallet login flow, and developer tools.","Developer Tooling,Wallet",,https://twitter.com/dynamic_xyz
ENS,https://ens.domains/,"Decentralised naming for wallets, websites, & more.",Domains,,https://twitter.com/ensdomains
Ether.fi,https://ether.fi/,EtherFi is a decentralized non-custodial staking protocol.,Staking,https://discord.gg/8Vn9kkNnPg,https://twitter.com/ether_fi
Exactly,https://exact.ly/,"Exactly Protocol is a decentralized, non-custodial and autonomous marketplace for depositing and borrowing crypto assets at a variable or fixed interest rate.",DeFi,https://exact.ly/discord,https://twitter.com/exactlyprotocol
Gelato,https://www.gelato.network/,"Web3’s decentralized backend; empowering builders to create automated, gasless & off-chain aware applications.","Developer Tooling,Infrastructure",https://discord.gg/ApbA39BKyJ,https://twitter.com/gelatonetwork
Goldsky,https://goldsky.com/,"Real-time data infra for web3. Index and transform on-chain data. Query with GraphQL, SQL, and more.","Data API,Developer Tooling,Infrastructure",,https://twitter.com/goldskyio
Hacken,https://hacken.io/,Blockchain security and auditor,Security,https://discord.com/invite/VYJXut8huR,https://twitter.com/hackenclub
Holonym,https://www.holonym.id/,on-chain zero knowledge identity,"ID,ZK",https://discord.gg/zPzsEAXrQt,https://twitter.com/0xHolonym
Hyper Oracle,https://www.hyperoracle.io/,zkMiddleware for fully decentralized infra.,"Infrastructure,Oracle,ZK",https://discord.gg/MgyYbW9dQj,https://twitter.com/hyperoracle
HYPE,https://www.hy.pe/,Web3 growth agency.,Growth,,https://twitter.com/hypepartners
Injective,https://injective.com/,L1 for DeFi,"DeFi,L1",https://discord.com/invite/NK4qdbv,https://twitter.com/Injective_
Mask Network,https://mask.io/,Mask Network brings privacy and benefits from Web3 to social media like Facebook & Twitter - with an open-sourced browser extension.,"Browser,Privacy",https://discord.gg/4SVXvj7,https://twitter.com/realMaskNetwork
MEW,https://www.myetherwallet.com/,MyEtherWallet creates user friendly products for interacting with blockchains.,"Browser,Wallet",,https://twitter.com/myetherwallet
Nervos,https://www.nervos.org/,"Nervos is an open Blockchain platform for innovators to build applications that are decentralized, autonomous and universally accessible.",Infrastructure,https://discord.gg/FKh8Zzvwqa,https://twitter.com/NervosNetwork
Oasis Protocol,https://oasisprotocol.org/,"Add confidentiality to existing dApps on any EVM network with the simple-to-integrate, UX-friendly Oasis Privacy Layer.",Privacy,https://discord.com/invite/BQCxwhT5wS,https://twitter.com/OasisProtocol
The Peregrine,https://theperegrine.co/,Web3 News platform.,News + Knowledge,,https://twitter.com/theperegrineco
Q,https://q.org/,"combines a public, open, decentralized ledger with governance concepts that have been tried and tested in established legal systems.",Governance,https://discord.gg/YTgkvJvZGD,https://twitter.com/QBlockchain
Recursive,https://recursive.xyz/,"Scaling crypto through zero-knowledge powered, modular network design.","Infrastructure,ZK",https://discord.com/invite/ZdjhA4Zh5e,https://twitter.com/recursive_xyz
Request,https://request.network/en/,"Transactions on Request Network are immutably recorded and requests are processed without an intermediary. Companies and individuals pay & get paid in digital currencies on many payment networks, including Ethereum, Polygon, Gnosis Chain, Celo, Fantom, and Near.","Infrastructure,payments",https://request.network/discord,https://twitter.com/RequestNetwork
The Rodman Law Group,https://therodmanlawgroup.com/,"The Rodman Law Group: Business, Blockchain, Cannabis, Securities, and IP Attorneys.",Legal,,https://twitter.com/RodmanLaw
RSS3,https://rss3.io/,"Open-internet search engine that allows you to quickly and easily find what you're looking for among dozens of DeFi protocols, social protocols, and social content sources.",Search,https://discord.com/invite/aGuwzF2hW4,https://twitter.com/RSS3_
Safe,https://safe.global/,Crypto asset management.,"Asset Management,multisig,payments",https://chat.safe.global/,https://twitter.com/safe
ShapeShift,https://shapeshift.com/,"A free open source platform to trade, track, buy, and earn. Community-owned. Private. Non-custodial. Multi-chain.","DeFi,Liquidity",https://discord.gg/shapeshift,https://twitter.com/ShapeShift
Sepana,https://sepana.io/,Search for Web3,Search,,https://sepana.io/
Supermodular,https://supermodular.xyz/,Web3 software incubator and builder of Gitcoin.,Incubator,,https://twitter.com/supermodularxyz
Swivel,https://swivel.finance/,The Decentralized Protocol For Fixed-Rate Lending & Tokenized Cash-Flows.,DeFi,https://discord.gg/swivel,https://twitter.com/SwivelFinance
Taiko,https://taiko.xyz/,"A decentralized, Ethereum-equivalent ZK-Rollup.","Rollup,ZK",https://discord.gg/taikoxyz,https://twitter.com/taikoxyz
Tatum,https://tatum.io/,"Platform to to build, test and run blockchain apps.",,,
Incubator,.,http://discord.gg/tatum,,https://twitter.com/tatum_io,
Teknos,https://www.teknosassociates.com/,Global Valuation and Advisory Services.,Consulting,,N/A
Timely Fans,https://www.timely.fans/,Mentorships platform connecting senseis to advisees.,Consulting,https://discord.gg/timely,N/A
Unidex,https://www.unidex.exchange/,"Data Aggregator for DeFi charting data, perpetuals, swaps, limit-orders, trade data, and more everyday right from your wallet.","Data Aggregator,DeFi",https://discord.gg/WzJPSjGj4h,https://twitter.com/UniDexFinance
Unlimint,https://www.unlimint.com/,"A global fintech company with a vast range of financial solutions: Acquiring, BaaS, IBAN Accounts, Card Issuing.","ecommerce,fintech,payments",,https://twitter.com/Unlimint
Witnet,https://witnet.io/,Layer one decentralized oracle network.,Oracle,https://discord.gg/X4uurfP,https://twitter.com/witnet_io
BuidlGuidl,https://buidlguidl.com/,A curated group of Ethereum,,,
"Developer Tooling,Guild"," builders creating products, prototypes, and tutorials to enrich the web3 ecosystem.",,,https://twitter.com/buidlguidl,
Buidlbox,https://buidlbox.io/,web3 hackathons platform for buidlers,"Developer Tooling,Hackathons",https://discord.gg/NTRYy5V2Q9,https://twitter.com/buidlbox
Be Bubbly,https://www.bebubblynapa.com/,N/A,,,N/A
BLKWEB3,https://www.blkweb3.com/,Black Web3 Community,,,N/A
BlockadeGames,https://blockade.games/,Web3 & AI game development,"AI,Gaming",https://discord.gg/neondistrict,https://twitter.com/BlockadeGames
Boys Club,https://boysclub.vip/,Web3 News and Media,News + Knowledge,,https://twitter.com/BoysClubCrypto
Crypto Consortium,https://cryptoconsortium.org/,Crypto Currency Certification Consortium,Certifications,,https://twitter.com/learnmorewithc4?lang=en
CU SPUR,https://csuspur.org/,CSU Spur is the CSU System,,,
Education,"Denver campus focusing on water, food, and health.",,,https://twitter.com/csuspur,
The Defiant,https://thedefiant.io/,DeFi News Platform,"DeFi,News + Knowledge",https://discord.com/invite/thedefiant,https://twitter.com/DefiantNews
DinGud,https://doingud.com/,"mpact Protocol, NFT Marketplace, NFTickets","DAO,Martketplace,NFT",https://discord.gg/Dsy8MEmBSE,https://twitter.com/doingudhq
ETH LATAM,https://ethlatam.org/,Community for ETH Latin America,"Events,News + Knowledge",,https://twitter.com/ethlatam
Gitcoin,https://gitcoin.co/,"Grants Protocol aims to decentralize funding access, empowering any community to run their own grants program.","Developer Tooling,Grants",https://gitcoin.co/discord,https://twitter.com/gitcoin
Giveth,https://giveth.io/,"Fund public goods, Zero Added Fees, Donor Rewards , Regenerative Economics , Decentralizing Charity, DAO.","DAO,Grants,Philanthropy",https://discord.giveth.io/,https://twitter.com/Givethio
Impact+,https://www.impact-plus.io/,Impact Plus seeks to expand accessibility and knowledge of blockchain technology by linking international and local actors.,"Education,Philanthropy",,https://twitter.com/ImpactPlus_Web3
liquality,https://liquality.io/,Liquality web3 SDK and Wallet Extension.,"Liquidity,Wallet",https://discord.gg/5mgYtuArkh,https://twitter.com/Liquality_io
RaidGuild,https://www.raidguild.org/,Developer Build Guild,"DAO,Developer Tooling",https://discord.gg/rGFpfQf,https://twitter.com/RaidGuild
WACHSMAN,https://wachsman.com/,Strategy and communications consultancy advising the next generation of companies.,Consulting,,https://twitter.com/Wachsman_?lang=en
WAGMI Games,https://wagmigame.io/,Gaming Studio,Gaming,https://link.wagmigame.io/discord,https://twitter.com/wagmigameco
Genzio,https://www.genzio.co/,Marketing + Strategy Firm,Marketing,,https://twitter.com/genzioco?s=21&t=G7npJ4A0EFrN49BHS3Wfew
